Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Mountain Fire,"July 23, 2021 at 7:46 PM","July 24, 2021 at 4:56 PM",,
Park Fire,"July 26, 2021 at 5:17 PM","July 27, 2021 at 6:52 PM",,
Pinnacles Fire,"July 29, 2021 at 7:13 AM","July 31, 2021 at 7:21 PM",,
McFarland Fire,"August 17, 2021 at 9:47 PM","August 28, 2021 at 9:14 AM",,
Robie Fire,"July 31, 2021 at 7:00 AM","August 1, 2021 at 7:36 AM",,
Hungry Fire,"August 1, 2021 at 7:36 AM","August 1, 2021 at 7:36 AM",,
Hiding Fire,"August 2, 2021 at 7:27 AM","August 4, 2021 at 11:36 AM",,
House Fire,"August 5, 2021 at 7:10 PM","August 10, 2021 at 8:49 PM",,
Nelson Fire,"August 7, 2021 at 9:10 PM","August 10, 2021 at 7:14 PM",,
Glen Fire,"August 11, 2021 at 6:37 PM","August 21, 2021 at 7:55 AM",,
Middle Fire,"August 13, 2021 at 8:52 PM","August 13, 2021 at 8:52 PM",,
Coyote Fire,"August 13, 2021 at 8:42 PM","August 14, 2021 at 7:51 PM",,
Bell Fire,"August 14, 2021 at 4:40 PM","August 19, 2021 at 7:48 PM",,
Cache Fire,"August 18, 2021 at 2:40 PM","August 20, 2021 at 8:11 PM",,
French Fire,"August 18, 2021 at 7:36 PM","September 6, 2021 at 7:01 AM",,
Rock Fire,"August 25, 2021 at 8:25 AM","August 27, 2021 at 7:59 AM",,
Mule Fire,"August 25, 2021 at 8:03 PM","August 25, 2021 at 8:03 PM",,
Airola Fire,"August 25, 2021 at 5:03 PM","September 2, 2021 at 7:07 PM",,
Westward Fire,"August 25, 2021 at 5:25 PM","August 28, 2021 at 9:48 AM",,
Bennett Fire,"August 25, 2021 at 5:43 PM","August 27, 2021 at 10:00 AM",,
Washington Fire,"August 26, 2021 at 4:27 PM","September 1, 2021 at 7:37 AM",,
Chaparral Fire,"August 28, 2021 at 4:34 PM","September 1, 2021 at 7:17 AM",,
Railroad Fire,"September 8, 2021 at 8:05 AM","September 8, 2021 at 8:05 AM",,
Knob Fire,"August 30, 2021 at 9:29 AM","August 30, 2021 at 10:06 AM",,
Lassen Fire,"September 1, 2021 at 6:26 PM","September 3, 2021 at 6:50 PM",,
Lawrence Fire,"September 5, 2021 at 12:09 PM","September 7, 2021 at 8:38 AM",,
Bridge Fire,"September 5, 2021 at 2:06 PM","September 14, 2021 at 6:20 PM",,
Aruba Fire,"September 5, 2021 at 4:38 PM","September 7, 2021 at 7:36 PM",,
Caballo Fire,"September 6, 2021 at 4:20 PM","September 8, 2021 at 4:25 PM",,
Route Fire,"September 11, 2021 at 6:53 PM","September 12, 2021 at 8:57 PM",,
Hopkins Fire,"September 12, 2021 at 3:49 PM","September 20, 2021 at 5:09 PM",,
Emigrant Fire,"September 17, 2021 at 3:07 PM","September 17, 2021 at 8:38 PM",,
Childrens Fire,"September 19, 2021 at 1:39 PM","September 19, 2021 at 1:39 PM",,
Fremont Fire,"September 22, 2021 at 3:29 PM","September 22, 2021 at 6:51 PM",,
Fawn Fire,"September 23, 2021 at 1:26 PM","September 30, 2021 at 8:38 AM","SCU-195, SCU-500, SCU-E189, SCU-E192, SCU-E193, SCU-E195, SCU-E196, SCU-E197, SCU-E198, SCU-E500","SCU-195, SCU-500, SCU-E189, SCU-E192, SCU-E193, SCU-E195, SCU-E196, SCU-E197, SCU-E198, SCU-E500"
Maxwell Fire,"October 6, 2021 at 7:06 PM","October 10, 2021 at 6:37 PM",,
View Fire,"October 11, 2021 at 3:48 PM","October 12, 2021 at 7:47 AM",,
Kettle Fire,"October 11, 2021 at 7:59 PM","October 11, 2021 at 7:59 PM",,
Newell Fire,"October 11, 2021 at 8:04 PM","October 12, 2021 at 7:47 AM",,
Alisal Fire,"October 28, 2021 at 9:25 AM","December 3, 2021 at 8:34 AM",,
Canal Fire,"October 14, 2021 at 5:04 PM","October 21, 2021 at 11:04 AM",,
Estrada Fire,"October 15, 2021 at 7:30 PM","October 20, 2021 at 6:30 PM",,
Hollow Fire,"October 24, 2021 at 4:37 PM","October 24, 2021 at 4:37 PM",,
