Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Shackleford Fire,"July 30, 2022 at 9:53 PM","August 5, 2022 at 7:00 PM",,
Pebble Fire,"July 31, 2022 at 4:11 PM","August 2, 2022 at 7:51 PM",,
Kelsey Fire,"July 31, 2022 at 5:02 PM","August 1, 2022 at 7:24 PM",,
Meamber Fire,"August 1, 2022 at 6:57 AM","August 6, 2022 at 7:23 PM",,
Marmot Fire,"August 2, 2022 at 7:42 PM","August 6, 2022 at 7:19 PM",,
Springs Fire,"August 3, 2022 at 6:11 PM","August 4, 2022 at 6:18 PM",,
Smokey Fire,"August 4, 2022 at 11:27 AM","August 4, 2022 at 11:29 AM",,
Yeti and Alex Fire,"August 6, 2022 at 5:24 PM","September 10, 2022 at 10:32 AM",,
3-8 Fire,"August 9, 2022 at 7:34 AM","August 15, 2022 at 7:06 AM",,
S-2 Fire,"August 10, 2022 at 5:54 PM","August 10, 2022 at 5:54 PM",,
Sam Fire,"August 10, 2022 at 6:05 PM","August 11, 2022 at 7:23 PM",,
Rail Fire,"August 14, 2022 at 7:54 PM","August 17, 2022 at 7:43 PM",,
Eden Fire,"August 15, 2022 at 6:23 PM","August 15, 2022 at 7:41 PM",,
Los Bueyes,"August 16, 2022 at 3:30 PM","August 16, 2022 at 3:30 PM",,
Quail Fire,"August 17, 2022 at 7:30 PM","August 18, 2022 at 7:17 PM",,
Pleasant Fire,"August 20, 2022 at 4:40 PM","August 29, 2022 at 9:57 AM",,
Point Fire,"August 20, 2022 at 7:29 PM","August 22, 2022 at 9:00 PM",,
East Fire,"August 25, 2022 at 4:25 PM","September 7, 2022 at 6:35 AM",,
Still Fire,"August 27, 2022 at 1:32 PM","August 29, 2022 at 10:03 AM",,
McCovey Fire,"August 29, 2022 at 12:46 PM","August 30, 2022 at 6:41 PM",,
Ranch Fire,"August 29, 2022 at 1:34 PM","August 30, 2022 at 6:39 PM",,
