Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Wind Fire,"May 20, 2024 at 10:06 AM","May 21, 2024 at 1:28 PM",,
Hall Fire,"May 20, 2024 at 1:37 PM","May 21, 2024 at 9:34 AM",,
Elk Fire,"May 22, 2024 at 8:35 AM","May 22, 2024 at 8:35 AM",,
Valley Fire,"May 22, 2024 at 8:31 PM","May 22, 2024 at 8:31 PM",,
Knolls Fire,"May 22, 2024 at 8:42 PM","May 22, 2024 at 8:42 PM",,
Seven Fire,"May 24, 2024 at 10:48 AM","May 24, 2024 at 10:48 AM",,
Panoche Fire,"May 25, 2024 at 12:58 PM","May 28, 2024 at 7:50 PM",,
Harford Fire,"May 25, 2024 at 1:24 PM","May 25, 2024 at 7:48 PM",,
Shirleon Fire,"May 25, 2024 at 1:24 PM","May 26, 2024 at 12:04 AM",,
Holiday Fire,"May 25, 2024 at 4:34 PM","May 25, 2024 at 4:34 PM",,
Nees Fire,"May 25, 2024 at 6:40 PM","May 25, 2024 at 6:40 PM",,
Central Fire,"May 25, 2024 at 6:40 PM","May 25, 2024 at 6:40 PM",,
Border 51 Fire,"May 26, 2024 at 12:47 PM","May 26, 2024 at 5:01 PM",,
Flood Fire,"May 26, 2024 at 6:43 PM","May 26, 2024 at 10:06 PM",,
Millerton Fire,"May 26, 2024 at 7:47 PM","May 28, 2024 at 8:27 AM",,
Vince Fire,"May 27, 2024 at 3:59 PM","May 27, 2024 at 3:59 PM",,
Five Fire,"May 28, 2024 at 7:31 AM","May 28, 2024 at 7:31 AM",,
Hill Fire,"May 28, 2024 at 1:43 PM","June 1, 2024 at 9:19 AM",,
Pepper Fire,"May 28, 2024 at 4:23 PM","May 30, 2024 at 7:47 AM",,
Dillon Fire,"May 28, 2024 at 4:23 PM","May 28, 2024 at 7:52 PM",,
Clark Fire,"May 28, 2024 at 7:51 PM","May 29, 2024 at 8:15 AM",,
Mocal Fire,"May 28, 2024 at 7:51 PM","May 29, 2024 at 7:15 PM",,
Shirleon Fire,"May 29, 2024 at 8:15 AM","May 29, 2024 at 8:15 AM",,
Watt Fire,"May 29, 2024 at 8:15 AM","May 29, 2024 at 8:15 AM",,
Mateo Fire,"May 29, 2024 at 8:14 AM","May 31, 2024 at 8:58 AM",,
Zediker Fire,"May 29, 2024 at 8:14 AM","May 30, 2024 at 8:37 AM",,
County Fire,"May 29, 2024 at 3:41 PM","May 30, 2024 at 8:38 AM",,
Devil Fire,"May 29, 2024 at 3:46 PM","May 29, 2024 at 6:36 PM",,
Bank Fire,"May 30, 2024 at 9:48 AM","May 30, 2024 at 3:06 PM",,
Howard Fire,"May 30, 2024 at 12:46 PM","May 31, 2024 at 9:44 PM",,
Great 3 Fire,"May 30, 2024 at 1:40 PM","June 1, 2024 at 6:22 PM",,
Canal Fire,"May 30, 2024 at 2:16 PM","May 31, 2024 at 5:33 PM",,
Hawk Fire,"May 30, 2024 at 4:00 PM","May 31, 2024 at 10:46 AM",,
Firebaugh Fire,"May 30, 2024 at 4:10 PM","May 30, 2024 at 7:29 PM",,
Valley Center Fire,"May 30, 2024 at 7:29 PM","May 31, 2024 at 4:04 PM",,
Yer1 Fire,"May 30, 2024 at 7:29 PM","May 31, 2024 at 10:37 AM",,
Nby1 Fire,"May 30, 2024 at 7:29 PM","May 30, 2024 at 7:29 PM",,
Rosamond Fire,"May 30, 2024 at 7:29 PM","May 31, 2024 at 10:47 AM",,
Tesoro Fire,"May 31, 2024 at 4:03 PM","May 31, 2024 at 7:05 PM",,
Limonite Fire,"May 31, 2024 at 4:17 PM","June 1, 2024 at 6:32 PM",,
Red Fire,"May 31, 2024 at 5:33 PM","June 2, 2024 at 7:06 PM",,
Field Fire,"May 31, 2024 at 5:36 PM","June 1, 2024 at 1:59 PM",,
Fields Fire,"May 31, 2024 at 9:32 PM","June 1, 2024 at 9:25 AM",,
Ranch Fire,"May 31, 2024 at 10:36 PM","June 1, 2024 at 7:30 PM",,
Boyd Fire,"June 1, 2024 at 9:24 AM","June 5, 2024 at 8:58 AM",,
Corral Fire,"June 1, 2024 at 4:44 PM","June 6, 2024 at 6:02 PM",,
Border 53 Fire,"June 1, 2024 at 7:13 PM","June 4, 2024 at 5:58 PM",,
Raymond Fire,"June 2, 2024 at 8:05 AM","June 2, 2024 at 8:05 AM",,
Park Fire,"June 2, 2024 at 3:29 PM","June 2, 2024 at 10:37 PM",,
West Fire,"June 2, 2024 at 7:03 PM","June 6, 2024 at 8:06 AM",,
Shadow Fire,"June 3, 2024 at 1:57 PM","June 4, 2024 at 7:40 AM",,
Patterson Fire,"June 4, 2024 at 10:09 AM","June 5, 2024 at 6:07 PM",,
Sorrel Fire,"June 4, 2024 at 10:54 AM","June 4, 2024 at 10:54 AM",,
Springs Fire,"June 4, 2024 at 12:41 PM","June 4, 2024 at 2:13 PM",,
Russell Fire,"June 4, 2024 at 12:49 PM","June 5, 2024 at 11:10 AM",,
Road Fire,"June 4, 2024 at 5:37 PM","June 6, 2024 at 8:11 AM",,
Lotus Fire,"June 5, 2024 at 11:05 AM","June 6, 2024 at 8:20 AM",,
Bitterwater ,"June 5, 2024 at 12:38 PM","June 6, 2024 at 8:06 AM",,
Crystal Fire,"June 5, 2024 at 2:17 PM","June 8, 2024 at 6:58 AM",,
Little Fire,"June 6, 2024 at 8:06 AM","June 7, 2024 at 10:23 AM",,
Devil Fire,"June 6, 2024 at 11:47 AM","June 6, 2024 at 8:35 PM",,
Relay Fire,"June 6, 2024 at 1:58 PM","June 7, 2024 at 7:52 AM",,
Gaskell Fire,"June 6, 2024 at 5:33 PM","June 7, 2024 at 8:04 AM",,
155 Fire,"June 6, 2024 at 5:58 PM","June 8, 2024 at 9:24 PM","KRN-719, KRN-724",
Lost Fire,"June 6, 2024 at 7:20 PM","June 7, 2024 at 8:07 AM",,
Pan Fire,"June 7, 2024 at 9:54 AM","June 7, 2024 at 10:28 AM",,
Albers Fire,"June 7, 2024 at 12:30 PM","June 8, 2024 at 8:03 PM",,
Garlock Fire,"June 7, 2024 at 4:39 PM","June 9, 2024 at 9:24 PM",,
Morgan Fire,"June 7, 2024 at 5:02 PM","June 8, 2024 at 7:58 AM",,
Poleline Fire,"June 7, 2024 at 7:27 PM","June 7, 2024 at 9:31 PM",,
Koala Fire,"June 7, 2024 at 8:30 PM","June 7, 2024 at 8:30 PM",,
Springs Fire,"June 8, 2024 at 6:15 AM","June 9, 2024 at 7:05 PM",,
Greenville Fire,"June 8, 2024 at 12:01 PM","June 8, 2024 at 9:16 PM",,
Cody Fire,"June 8, 2024 at 3:24 PM","June 9, 2024 at 9:24 PM",,
Aquaduct 2 Fire,"June 8, 2024 at 3:52 PM","June 10, 2024 at 4:36 PM",,
Rock Fire,"June 8, 2024 at 5:47 PM","June 8, 2024 at 10:11 PM",,
Creek Fire,"June 9, 2024 at 11:40 AM","June 14, 2024 at 1:35 PM",,
John Fire,"June 9, 2024 at 5:21 PM","June 12, 2024 at 2:46 PM",,
Forest Fire,"June 9, 2024 at 5:57 PM","June 11, 2024 at 9:17 AM",,
Rawson Fire,"June 10, 2024 at 1:13 PM","June 11, 2024 at 9:19 AM",,
Spenceville Fire,"June 10, 2024 at 1:14 PM","June 10, 2024 at 1:44 PM",,
Acorn Fire,"June 10, 2024 at 2:06 PM","June 11, 2024 at 9:16 AM",,
Cod Fire,"June 10, 2024 at 6:17 PM","June 13, 2024 at 6:56 PM","SIS-3107, SIS-3208, SIS-3211, SIS-3312, SIS-3318, SIS-3413","SIS-3107, SIS-3208, SIS-3211, SIS-3312, SIS-3318, SIS-3413"
Flynn Fire,"June 11, 2024 at 11:06 AM","June 12, 2024 at 6:46 PM",,
Jellys Fire,"June 11, 2024 at 12:30 PM","June 13, 2024 at 8:14 AM",,
Stoddard 3 Fire,"June 11, 2024 at 1:29 PM","June 12, 2024 at 12:55 PM",,
Carmen Fire,"June 11, 2024 at 2:03 PM","June 11, 2024 at 6:44 PM",,
Travel Fire,"June 11, 2024 at 3:42 PM","June 11, 2024 at 3:42 PM",,
Lincoln Fire,"June 11, 2024 at 3:54 PM","June 12, 2024 at 10:26 AM",,
Hinkley Fire,"June 11, 2024 at 4:19 PM","June 14, 2024 at 9:13 AM",,
Oil Fire,"June 11, 2024 at 5:20 PM","June 12, 2024 at 2:55 PM",,
Bear Fire,"June 12, 2024 at 12:48 PM","June 13, 2024 at 10:48 AM",,
Grant Fire,"June 12, 2024 at 4:34 PM","June 14, 2024 at 1:37 PM",,
Llano Fire,"June 12, 2024 at 5:18 PM","June 14, 2024 at 9:14 AM",,
Johnson Fire,"June 13, 2024 at 3:12 PM","June 14, 2024 at 2:04 PM",,
Peterson Fire,"June 13, 2024 at 8:01 PM","June 14, 2024 at 9:39 PM",,
Felipe Fire,"June 15, 2024 at 10:08 AM","June 15, 2024 at 7:36 PM",,
Post Fire,"June 15, 2024 at 3:53 PM","June 24, 2024 at 8:50 AM","CAS-GOLDENSTATE, GOR-HUNGRYVALLEY",CAS-GOLDENSTATE
Junes Fire,"June 15, 2024 at 4:49 PM","June 18, 2024 at 8:52 AM",BUT-BR,BUT-BR
Hernandez Fire,"June 15, 2024 at 5:17 PM","June 19, 2024 at 8:10 PM",,
Rocky Fire,"June 15, 2024 at 5:23 PM","June 19, 2024 at 12:55 PM",BUT-FF,
Sioux Fire,"June 15, 2024 at 5:32 PM","June 15, 2024 at 6:30 PM",,
West Fire,"June 15, 2024 at 6:35 PM","June 20, 2024 at 10:07 AM",,
Hesperia Fire,"June 15, 2024 at 6:54 PM","June 22, 2024 at 12:59 PM",,
Excelsior Fire,"June 16, 2024 at 1:38 PM","June 17, 2024 at 12:48 PM",,
Lisa Fire,"June 16, 2024 at 2:52 PM","June 18, 2024 at 6:59 AM",,
Point Fire,"June 16, 2024 at 2:52 PM","June 24, 2024 at 5:30 PM",,
Inkopah 5 Fire,"June 16, 2024 at 3:02 PM","June 16, 2024 at 4:00 PM",,
Summit Fire,"June 16, 2024 at 3:13 PM","June 17, 2024 at 6:42 AM",,
Elgin Fire,"June 16, 2024 at 4:23 PM","June 18, 2024 at 8:52 AM",,
Max Fire,"June 16, 2024 at 5:08 PM","June 16, 2024 at 10:12 PM",,
Hidden Fire,"June 16, 2024 at 5:47 PM","June 19, 2024 at 8:10 PM","JVA-4260, JVA-4290, JVA-4300, JVA-4310, JVAY-4280, MTG-4270",
62 Fire,"June 16, 2024 at 7:48 PM","June 16, 2024 at 7:48 PM",,
Tuscany Fire,"June 17, 2024 at 1:15 PM","June 20, 2024 at 2:03 PM",,
Slough Fire,"June 17, 2024 at 1:49 PM","June 18, 2024 at 1:51 PM",,
Railroad Fire,"June 17, 2024 at 2:24 PM","June 18, 2024 at 11:09 AM",,
Sites Fire,"June 17, 2024 at 2:27 PM","June 24, 2024 at 6:15 PM",,
Stage Fire,"June 17, 2024 at 3:58 PM","June 17, 2024 at 5:31 PM",,
Coast Fire,"June 17, 2024 at 3:58 PM","June 18, 2024 at 8:53 AM",,
Douglas Fire,"June 17, 2024 at 3:59 PM","June 19, 2024 at 12:38 PM",,
Aero Fire,"June 17, 2024 at 4:26 PM","June 24, 2024 at 10:05 PM","CCU-139, CCU-147, CCU-152, CCU-153, CCU-156, CCU-157, CCU-158, CCU-159, CCU-160, CCU-161, CCU-162, CCU-163, CCU-164, CCU-165, CCU-166, CCU-167, CCU-168, CCU-169, CCU-17, CCU-170, CCU-171, CCU-172, CCU-173, CU-147","CCU-139, CCU-147, CCU-152, CCU-153, CCU-156, CCU-157, CCU-158, CCU-159, CCU-160, CCU-161, CCU-162, CCU-163, CCU-164, CCU-165, CCU-166, CCU-167, CCU-168, CCU-169, CCU-17, CCU-170, CCU-171, CCU-172, CCU-173, CU-147"
Ingomar Fire,"June 17, 2024 at 5:51 PM","June 18, 2024 at 8:52 AM",,
Spring Fire,"June 18, 2024 at 8:03 PM","June 19, 2024 at 6:47 AM",,
Sky Fire,"June 19, 2024 at 11:34 AM","June 19, 2024 at 7:51 PM",,
Scotts Fire,"June 19, 2024 at 3:48 PM","June 20, 2024 at 7:12 AM",,
Daytona Fire,"June 19, 2024 at 3:55 PM","June 21, 2024 at 9:54 AM",,
Vista Fire,"June 19, 2024 at 6:28 PM","June 19, 2024 at 6:49 PM",,
Side Fire,"June 19, 2024 at 10:17 PM","June 26, 2024 at 8:09 AM",,
Kirk Fire,"June 20, 2024 at 10:47 AM","June 21, 2024 at 9:55 AM",,
Double Fire,"June 20, 2024 at 3:11 PM","June 23, 2024 at 10:28 AM","YUB-E007, YUB-E081",
Pfe Fire,"June 20, 2024 at 8:25 PM","June 20, 2024 at 9:07 PM",,
Basalt Fire,"June 21, 2024 at 5:38 AM","June 21, 2024 at 1:26 PM",,
Gulch Fire,"June 21, 2024 at 9:57 AM","June 22, 2024 at 9:42 AM",,
Water Fire,"June 21, 2024 at 1:40 PM","June 21, 2024 at 5:55 PM",,
Jolon Fire,"June 22, 2024 at 2:07 AM","June 22, 2024 at 2:07 AM",,
Willow Fire,"June 22, 2024 at 3:41 PM","June 24, 2024 at 6:09 PM",,
Border 58 Fire,"June 22, 2024 at 4:12 PM","June 24, 2024 at 10:00 PM",,
Watts Fire,"June 22, 2024 at 4:43 PM","June 24, 2024 at 8:50 AM",,
Needles Fire,"June 22, 2024 at 4:54 PM","June 26, 2024 at 8:11 AM",,
Valley Fire,"June 22, 2024 at 11:12 PM","June 23, 2024 at 10:22 AM",,
Oak Fire,"June 23, 2024 at 6:14 AM","June 24, 2024 at 10:07 AM",,
10th Fire,"June 24, 2024 at 2:58 PM","June 25, 2024 at 8:51 PM",,
Serrano Fire,"June 24, 2024 at 3:47 PM","June 26, 2024 at 8:07 AM",,
Muscat Fire,"June 24, 2024 at 4:01 PM","June 25, 2024 at 4:07 PM",,
White Fire,"June 24, 2024 at 4:10 PM","June 24, 2024 at 9:25 PM",,
Willms Fire,"June 24, 2024 at 4:30 PM","June 24, 2024 at 7:28 PM",,
Amoruso Fire,"June 24, 2024 at 5:12 PM","June 27, 2024 at 12:23 PM",,
1-2 Fire,"June 24, 2024 at 5:36 PM","June 26, 2024 at 8:13 AM",,
Apache Fire,"June 24, 2024 at 7:56 PM","June 29, 2024 at 6:00 PM",BUT-PAL,BUT-PAL
Bear Fire,"June 25, 2024 at 5:59 AM","June 25, 2024 at 10:23 AM",,
Lavender Fire,"June 25, 2024 at 3:40 PM","June 25, 2024 at 8:27 PM",,
Preston Fire,"June 25, 2024 at 8:14 PM","June 27, 2024 at 6:39 AM",,
Fresno June Lightning Complex,"June 25, 2024 at 9:11 PM","July 4, 2024 at 5:48 PM",,
Anchor Fire,"June 25, 2024 at 9:21 PM","June 26, 2024 at 11:18 AM",,
Round Fire,"June 25, 2024 at 10:43 PM","June 26, 2024 at 8:07 AM",,
Crabtree Fire,"June 26, 2024 at 5:06 AM","June 26, 2024 at 5:15 AM",,
Pass Fire,"June 26, 2024 at 10:31 AM","June 26, 2024 at 3:05 PM",,
Basin Fire,"June 26, 2024 at 3:55 PM","July 20, 2024 at 1:02 PM",,
Columbia Fire,"June 26, 2024 at 4:09 PM","June 26, 2024 at 5:02 PM",,
Clear Fire,"June 26, 2024 at 4:36 PM","June 27, 2024 at 6:08 PM",,
Empire,"June 26, 2024 at 5:16 PM","June 27, 2024 at 4:06 PM",,
Hollow Fire,"June 27, 2024 at 12:16 PM","June 28, 2024 at 8:37 AM",,
Veterans Fire,"June 27, 2024 at 3:38 PM","June 29, 2024 at 5:13 PM",,"IGO-6740, IGO-7890, IGO-7900, ONO-6750"
Bar Fire ,"June 27, 2024 at 4:06 PM","July 1, 2024 at 6:36 PM",,
Pizona Fire,"June 28, 2024 at 8:41 AM","July 5, 2024 at 1:13 PM",,
Spring Fire,"June 28, 2024 at 9:50 AM","June 28, 2024 at 3:22 PM",,
Lime Fire,"June 28, 2024 at 11:27 AM","July 2, 2024 at 1:10 PM",,
Sheering Fire,"June 28, 2024 at 11:39 AM","July 15, 2024 at 4:20 PM",,
Adobe Fire,"June 28, 2024 at 12:47 PM","July 2, 2024 at 10:23 AM",,
Cotton Fire,"June 28, 2024 at 6:36 PM","June 29, 2024 at 6:45 AM",,
Frazier Fire,"June 28, 2024 at 6:42 PM","June 29, 2024 at 6:16 AM",,
Lonoak Fire,"June 28, 2024 at 8:48 PM","June 29, 2024 at 9:57 AM",,
Round Fire,"June 29, 2024 at 12:52 PM","June 30, 2024 at 7:23 PM",,
Mines Fire,"June 29, 2024 at 4:11 PM","July 2, 2024 at 12:39 PM",,
Creek Fire,"June 29, 2024 at 5:19 PM","July 1, 2024 at 6:36 PM",,
El Paso Fire,"June 30, 2024 at 11:54 AM","June 30, 2024 at 11:59 AM",,
Indigo Fire,"June 30, 2024 at 2:27 PM","July 3, 2024 at 6:41 AM",,
Sierra Fire ,"June 30, 2024 at 3:26 PM","July 1, 2024 at 7:51 AM",,
Brentwood Fire,"June 30, 2024 at 1:15 PM","June 30, 2024 at 7:24 PM",,
Canyon Fire,"June 30, 2024 at 7:24 PM","July 2, 2024 at 10:48 AM",,
Kitchen Fire,"July 1, 2024 at 12:40 PM","July 3, 2024 at 10:28 PM",,
Kern Fire,"July 1, 2024 at 3:13 PM","July 3, 2024 at 10:31 PM",,
Mccain Fire,"July 1, 2024 at 5:13 PM","July 11, 2024 at 12:34 AM",,
Sunrise Fire,"July 1, 2024 at 6:55 PM","July 3, 2024 at 10:41 AM",,
High Desert Fire,"July 1, 2024 at 7:15 PM","July 3, 2024 at 6:47 AM",,
Toll Fire,"July 2, 2024 at 10:48 AM","July 11, 2024 at 7:45 AM","NPA-E104, NPA-E105, NPA-E113","NPA-E104, NPA-E105, NPA-E113"
Thompson Fire,"July 2, 2024 at 11:52 AM","July 8, 2024 at 6:15 PM","BUT-CHE, BUT-HUR, BUT-KR, BUT-ONE, BUT-ORO, BUT-OSE, CHE-531BUT, CHE-532, CHE-532BUT, CHE-533, CHE-533BUT, CHE-534BUT, CHE-535BUT, CHE-536BUT, HUR-851, HUR-851BUT, KR-700BUT, KR-701BUT, KR-702BUT, KR-703BUT, KR-704BUT, KR-705BUT, KR-706BUT, KR-707BUT, KR-708BUT, KR-709BUT, KR-710BUT, KR-711, KR-711BUT, KR-712BUT, KR-713BUT, KR-714BUT, KR-715BUT, KR-716BUT, ONE-726BUT, ONE-727BUT, ONE-730, ONE-730A, ONE-730BUT, ONE-731, ONE-731BUT, ORO-953BUT, ORO-954, ORO-954BUT, ORO-958, ORO-958BUT, ORO-959, ORO-959BUT, ORO-960BUT, ORO-964BUT, ORO-965, ORO-965A, ORO-965BUT, OSE-800, OSE-800BUT, OSE-801BUT, OSE-802BUT, OSE-804, OSE-804BUT, OSE-805BUT, OSE-806, OSE-806ABUT, OSE-806BUT, OSE-807BUT, OSE-808BUT, OSE-809BUT, OSE-810, OSE-810BUT, OSE-811BUT, OSE-816, OSE-816BUT, OSE-817BUT, OSE-818BUT, OSE-819BUT, OSE-820, OSE-820BUT, OSE-828BUT, UT-CHE",BUT-ORO
Yolla Fire,"July 2, 2024 at 12:11 PM","July 5, 2024 at 8:48 AM",,
Denverton Fire,"July 2, 2024 at 1:18 PM","July 3, 2024 at 10:34 PM",,
Border 60 Fire,"July 2, 2024 at 3:33 PM","July 2, 2024 at 5:36 PM",,
Airline Fire,"July 2, 2024 at 3:34 PM","July 5, 2024 at 10:39 AM",,
Moccasin Fire,"July 2, 2024 at 3:45 PM","July 7, 2024 at 7:16 PM",,
Bowman Fire,"July 2, 2024 at 3:56 PM","July 2, 2024 at 3:56 PM",,
Luken Fire,"July 2, 2024 at 4:33 PM","July 3, 2024 at 3:06 PM",,
Power Fire,"July 2, 2024 at 5:27 PM","July 3, 2024 at 10:36 PM",,
Sharp Fire,"July 3, 2024 at 2:30 PM","July 5, 2024 at 7:36 AM",,
Olive Fire,"July 3, 2024 at 2:35 PM","July 5, 2024 at 1:13 PM",,
Berry Fire,"July 3, 2024 at 2:44 PM","July 3, 2024 at 7:34 PM",,
Shelly Fire,"July 3, 2024 at 3:20 PM","August 6, 2024 at 10:01 AM","ASIS-1233SIS, ASIS-2200, ASIS-2200SIS, ASIS-2203, ASIS-2206, ASIS-2209SIS, ASIS-2301, ASIS-2301SIS, ASIS-2304, ASIS-2402, BSIS-2108, BSIS-2203, BSIS-2206, BSIS-2209SIS, BSIS-2212, BSIS-2301, BSIS-2301SIS, CSIS-2203, CSIS-2304ETN, CSIS-2304SIS, DSIS-2206, ESIS-2206, ETN-2307, ETN-2307ETN, ETN-2310, ETN-2319, ETN-2322, SIS-1233, SIS-1233SIS, SIS-1236, SIS-1313, SIS-1316, SIS-1316SIS, SIS-1414, SIS-1414SIS, SIS-1521, SIS-2001, SIS-2004, SIS-2007, SIS-2102, SIS-2102SIS, SIS-2105, SIS-2108, SIS-2111, SIS-2114, SIS-2200, SIS-2203, SIS-2206, SIS-2209, SIS-2212, SIS-2301, SIS-2304, SIS-2402",
Orchard Fire,"July 3, 2024 at 3:25 PM","July 5, 2024 at 8:49 AM","KRN-14, KRN-146, KRN-14KRN, KRN-165","KRN-145, KRN-145KRN, KRN-146, KRN-165"
Adams Fire,"July 3, 2024 at 3:39 PM","July 7, 2024 at 12:11 PM","LOW-E169, LOW-E170, LOW-E176",
Watt Fire,"July 3, 2024 at 5:07 PM","July 3, 2024 at 5:07 PM",,
Olinda Fire,"July 3, 2024 at 4:44 PM","July 6, 2024 at 8:09 AM","ACOT-9500, ACOT-9550, AHAP-7490HAP, AHAP-7730, BHAP-7710, BHAP-7720, COT-9470, COT-9470COT, COT-9490, COT-9500, COT-9510, COT-9520, COT-9530, COT-9540, COT-9550, HAP-7470, HAP-7480, HAP-7490, HAP-7710, HAP-7720, HAP-7730",
Little Fire,"July 3, 2024 at 5:06 PM","July 3, 2024 at 5:42 PM",,
Grubbs Fire,"July 3, 2024 at 5:21 PM","July 3, 2024 at 7:03 PM",BUT-PAL,"BUT-PAL, PAL-867BUT, PAL-868BUT, PAL-869"
Slough Fire,"July 3, 2024 at 6:49 PM","July 3, 2024 at 6:53 PM",,
Adrian Fire,"July 3, 2024 at 8:21 PM","July 3, 2024 at 8:41 PM",,
Grande Fire,"July 4, 2024 at 5:24 AM","July 8, 2024 at 1:29 PM",,
Sotelo Fire,"July 4, 2024 at 12:56 PM","July 4, 2024 at 5:02 PM",,
Deer Fire,"July 4, 2024 at 2:44 PM","July 5, 2024 at 7:12 PM","ACOT-9500, ACOT-9550, BCOT-9500COT, BCOT-9510COT, COT-9470, COT-9470COT, COT-9490, COT-9500, COT-9510, COT-9520, COT-9530, COT-9540, COT-9550, HAP-7470, HAP-7480, HAP-7490, HAP-7710, HAP-7720, HAP-7730, RDB-058, RDB-058TEH, TEH-056, TEH-060, TEH-060TEH, TEH-062, TEH-068, TEH-070","ACOT-9500, ACOT-9550, COT-9490, COT-9500, COT-9550"
Highway Fire ,"July 4, 2024 at 4:15 PM","July 8, 2024 at 1:39 PM",,
Meiss Fire,"July 4, 2024 at 7:01 PM","July 5, 2024 at 8:50 AM",,
French Fire,"July 4, 2024 at 7:26 PM","July 13, 2024 at 6:06 PM",,
Nason Fire,"July 4, 2024 at 9:59 PM","July 5, 2024 at 8:00 AM",,
Sonora Fire ,"July 4, 2024 at 10:26 PM","July 4, 2024 at 10:26 PM",,
Lumpkin Fire,"July 4, 2024 at 10:29 PM","July 5, 2024 at 8:51 AM",,
Rd 18.75 / Ave 24 Fire,"July 5, 2024 at 12:09 AM","July 5, 2024 at 12:09 AM",,
Storey Fire,"July 5, 2024 at 2:41 AM","July 5, 2024 at 7:41 AM",,
Paloma Fire,"July 5, 2024 at 2:42 AM","July 5, 2024 at 7:39 AM",,
Dersch Fire,"July 5, 2024 at 12:04 PM","July 7, 2024 at 7:04 PM","COT-8970, COT-8970COT, COT-8970MIL, COT-8990, COT-8990SHI, MIL-5280, MIL-5280MIL, MIL-5280SHI, MIL-8960, MIL-8960COT, SHI-5260, SHI-5270","COT-8970, COT-8990, COT-8990SHI, MIL-5280, MIL-8960, SHI-5260, SHI-5270"
Hills Fire,"July 5, 2024 at 2:42 PM","July 7, 2024 at 4:49 PM",RVC-1283,
York Fire,"July 5, 2024 at 2:45 PM","July 5, 2024 at 2:45 PM",,
Lake Fire,"July 5, 2024 at 5:01 PM","August 4, 2024 at 7:26 AM",,
Plenty Fire,"July 5, 2024 at 5:24 PM","July 6, 2024 at 9:25 AM",,
Rancho Fire,"July 5, 2024 at 6:46 PM","July 5, 2024 at 6:46 PM",,
Vestal Fire,"July 5, 2024 at 7:44 PM","July 8, 2024 at 8:47 AM",,
Pocket Fire,"July 6, 2024 at 11:51 AM","July 8, 2024 at 1:32 PM",,
Pay Fire,"July 6, 2024 at 3:33 PM","July 10, 2024 at 7:12 PM",,
Cahuilla Fire,"July 6, 2024 at 4:00 PM","July 7, 2024 at 8:36 AM",,
Lucerne Fire,"July 6, 2024 at 4:01 PM","July 8, 2024 at 1:37 PM",,
Top Fire,"July 6, 2024 at 5:06 PM","July 6, 2024 at 10:19 PM",,
Granite Fire,"July 6, 2024 at 5:05 PM","July 7, 2024 at 4:29 PM",,
View Fire,"July 6, 2024 at 7:56 PM","July 8, 2024 at 8:18 AM",,
