Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Palmas Fire,"February 20, 2024 at 1:27 PM","February 21, 2024 at 8:28 AM",,
 Bryson Fire,"February 27, 2024 at 12:31 PM","February 27, 2024 at 12:31 PM",,
Cartago Fire,"April 4, 2024 at 7:12 AM","April 6, 2024 at 6:43 PM",,
Marsh Fire,"April 12, 2024 at 1:27 PM","April 12, 2024 at 9:44 PM",,
Gardner Fire,"April 12, 2024 at 2:00 PM","April 12, 2024 at 9:47 PM",,
Pendola Fire,"April 21, 2024 at 8:56 PM","April 22, 2024 at 7:00 AM",,
York Fire,"April 21, 2024 at 8:33 PM","April 22, 2024 at 6:58 AM",,
Refuge Fire,"April 27, 2024 at 7:38 AM","May 1, 2024 at 10:49 AM",,
Billy Fire,"April 30, 2024 at 3:13 PM","April 30, 2024 at 3:13 PM",,
School Fire,"May 2, 2024 at 2:52 PM","May 3, 2024 at 12:49 PM",,
Tram Fire,"May 7, 2024 at 4:04 PM","May 7, 2024 at 4:04 PM",,
Magnolia Fire,"May 7, 2024 at 3:42 PM","May 8, 2024 at 12:41 PM",,
Almond Fire,"May 8, 2024 at 9:40 AM","May 9, 2024 at 6:21 PM",,
Sherwood Fire,"May 10, 2024 at 11:56 AM","May 11, 2024 at 6:51 AM",,
Dom Fire,"May 11, 2024 at 1:22 PM","May 11, 2024 at 6:24 PM",,
Jayne Fire,"May 11, 2024 at 6:24 PM","May 11, 2024 at 6:24 PM",,
Border 44 Fire,"May 13, 2024 at 8:12 AM","May 13, 2024 at 8:12 AM",,
Red Fire,"May 13, 2024 at 8:12 AM","May 13, 2024 at 2:37 PM",,
National Fire,"May 13, 2024 at 8:12 AM","May 13, 2024 at 2:39 PM",,
Love 2 Fire,"May 13, 2024 at 3:01 PM","May 15, 2024 at 8:33 AM",,
Janell Fire,"May 14, 2024 at 2:03 PM","May 15, 2024 at 11:48 AM",,
John Fire,"May 14, 2024 at 3:13 PM","May 15, 2024 at 2:48 PM",,
Cow Fire,"May 15, 2024 at 2:36 PM","May 20, 2024 at 10:06 AM",,
Ranch Fire,"May 15, 2024 at 8:33 PM","May 17, 2024 at 7:58 AM",,
Idria Fire,"May 15, 2024 at 8:59 PM","May 20, 2024 at 10:06 AM",,
Petrol Fire,"May 17, 2024 at 1:56 AM","May 17, 2024 at 2:39 PM",,
Roberts Fire,"May 17, 2024 at 2:39 PM","May 18, 2024 at 3:13 PM",,
Mission Fire,"May 18, 2024 at 6:21 PM","May 19, 2024 at 8:32 PM",,
