Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Boyles Fire,"September 8, 2024 at 2:47 PM","September 11, 2024 at 5:54 PM","ACLE-E157, ACLE-E157CLE, BCLE-E, BCLE-E157, CLE-E, CLE-E148, CLE-E148CLE, CLE-E157","BCLE-E, BCLE-E157, CLE-E, CLE-E148, CLE-E157"
Bridge Fire,"September 8, 2024 at 4:26 PM","October 28, 2024 at 8:25 AM","ALAC-E100, ALAC-E101LAC, ALAC-E106LAC, ALAC-E126, ALAC-E170, ALAC-E172, ASDM-E003, BLAC-E105, BLAC-E125LAC, BLAC-E126, BLAC-E172, BLD01, CLA-E003, CLA-E006, CLAC-E127LAC, CLAC-E171LAC, DFR-6, DLVN-E001LVN, LAC-106, LAC-106A, LAC-107, LAC-128, LAC-E, LAC-E100, LAC-E101, LAC-E102, LAC-E103, LAC-E104, LAC-E104LAC, LAC-E105, LAC-E105A, LAC-E105B, LAC-E106, LAC-E107, LAC-E125, LAC-E126, LAC-E127, LAC-E128, LAC-E142, LAC-E142B, LAC-E143, LAC-E144, LAC-E169, LAC-E169LAC, LAC-E170, LAC-E171, LAC-E172, LAC-E502, LAC-Q1339, LAC-Q1340, LAC-Q1377, LVN-002, LVN-E001, PIN00, PIN01, PIN02, PIN03, SDM-E003, SR-138, SR-2, WWD01, WWD02, WWD03","ALAC-E100, ALAC-E101LAC, ALAC-E170, ASDM-E003, BLAC-E125LAC, BLAC-E172, BLD01, CLA-E003, CLA-E006, DFR-6, DLVN-E001LVN, LAC-106, LAC-106A, LAC-E100, LAC-E101, LAC-E102, LAC-E103, LAC-E104, LAC-E105, LAC-E105A, LAC-E105B, LAC-E106, LAC-E107, LAC-E125, LAC-E126, LAC-E127, LAC-E142, LAC-E142B, LAC-E169, LAC-E169LAC, LAC-E170, LAC-E172, LAC-E502, LAC-Q1339, LAC-Q1340, LAC-Q1377, LVN-002, LVN-E001, PIN00, PIN01, PIN02, SDM-E003, SR-138, SR-2, WWD01, WWD02, WWD03"
Crozier Fire,"September 11, 2024 at 3:59 PM","September 11, 2024 at 3:59 PM",,
Rice 2 Fire,"September 9, 2024 at 10:39 AM","September 9, 2024 at 6:05 PM",,
Wicklow Fire,"September 9, 2024 at 2:39 PM","September 11, 2024 at 10:06 AM",,
Airport Fire,"September 9, 2024 at 2:53 PM","October 6, 2024 at 8:03 AM","LAC-E107, LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1050, RVC-1052, RVC-1153, RVC-1154, RVC-1155, RVC-1156, RVC-1157, RVC-1158, RVC-1159, RVC-1160, RVC-1161, RVC-1259, RVC-1260, RVC-1261, RVC-1262, RVC-1263, RVC-1265, RVC-1266, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1800RVC, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2000, RVC-2074, RVC-2075, RVC-2076, RVC-2077, RVC-2142, RVC-2143, RVC-2144, RVC-2145, RVC-2146, RVC-2147, RVC-2197, RVC-2243, RVC-2244, RVC-2245, VC-2000","LAC-E107, LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1050, RVC-1052, RVC-1153, RVC-1154, RVC-1155, RVC-1156, RVC-1157, RVC-1158, RVC-1159, RVC-1160, RVC-1161, RVC-1259, RVC-1260, RVC-1261, RVC-1262, RVC-1263, RVC-1265, RVC-1266, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1800RVC, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2074, RVC-2076, RVC-2077, RVC-2142, RVC-2143, RVC-2145, RVC-2146, RVC-2147, RVC-2244, RVC-2245"
Sunset Fire,"September 9, 2024 at 4:11 PM","September 9, 2024 at 9:14 PM",,
Train Fire,"September 9, 2024 at 4:10 PM","September 15, 2024 at 12:20 PM",,
Apollo Fire,"September 10, 2024 at 1:35 PM","September 10, 2024 at 2:18 PM","LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1153, RVC-1265, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1725, RVC-1726, RVC-1728, RVC-1729, RVC-1798, RVC-1800, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1865, RVC-1866, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1933, RVC-1934, RVC-1935, RVC-1936, RVC-1999, RVC-2074, RVC-2142, RVC-2143","LSN-1524, LSN-1525, LSN-1526, LSN-1623, LSN-1624, LSN-1625, LSN-1626, LSN-1627, LSN-1799, LSN-1803, RVC-1153, RVC-1265, RVC-1267, RVC-1269, RVC-1395, RVC-1396, RVC-1397, RVC-1398, RVC-1399, RVC-1400, RVC-1401, RVC-1402, RVC-1404, RVC-1405, RVC-1521, RVC-1522, RVC-1523, RVC-1622, RVC-1724, RVC-1726, RVC-1728, RVC-1729, RVC-1800, RVC-1801, RVC-1802, RVC-1804, RVC-1806, RVC-1807, RVC-1808, RVC-1809, RVC-1810, RVC-1867, RVC-1868, RVC-1869, RVC-1870, RVC-1936"
Coyote Fire,"September 10, 2024 at 4:38 PM","September 15, 2024 at 9:25 AM",,
