incident_id,incident_name,incident_longitude,incident_latitude,incident_county,incident_date_last_update,incident_dateonly_created,incident_dateonly_extinguished,incident_location,incident_acres_burned,incident_url,is_active
8c3a32c0-30c7-4837-94ef-cc27f9783df4,Bernasconi Fire,-117.153554,33.838928,Riverside,2023-07-05T14:01:01Z,2023-07-04,2023-07-04,Bernasconi Road and Ramona Expressway,18,https://www.fire.ca.gov/incidents/2023/7/4/bernasconi-fire/,N
7452e778-443b-4a4d-8cfd-8972832332f2,Lincoln Fire,-116.078906,33.583941,Riverside,2023-07-07T10:13:47Z,2023-07-05,2023-07-06,Lincoln Road and Ave 64 in Mecca,39,https://www.fire.ca.gov/incidents/2023/7/5/lincoln-fire/,N
1c29b20c-8287-49e7-88da-a057174c5b25,Day Fire,-117.278984,33.837311,Riverside,2023-07-06T20:32:53Z,2023-07-05,2023-07-06,"Day Street and Cajalco Road, near Mead Valley ",56,https://www.fire.ca.gov/incidents/2023/7/5/day-fire/,N
155dba26-11cd-4f55-8cc5-09c93ce7155e,Frog Fire,-117.0575,33.479,Riverside,2023-07-07T16:35:32Z,2023-07-06,2023-07-07,"Frogs Leap and Villa Helena Street, Temecula ",33,https://www.fire.ca.gov/incidents/2023/7/6/frog-fire/,N
ef08a1c3-8626-4881-b25c-64b7a913d174,District Fire,-118.9033,34.8866,Kern,2023-12-05T14:14:41Z,2023-07-07,2023-07-11,"Interstate 5 and Fort Tejon Road, north of Lebec",1044,https://www.fire.ca.gov/incidents/2023/7/7/district-fire/,N
1d1c4ff0-544e-425a-b558-f5e3ca586bea,Park Fire,-116.5836,32.6003,San Diego,2023-07-12T15:01:02Z,2023-07-09,2023-07-12,Potrero Park Drive and Potrero Valley Rd,64,https://www.fire.ca.gov/incidents/2023/7/9/park-fire/,N
93936963-a4c7-406a-9d8e-8ee11aa68e40,Rider Fire,-117.2616,33.8302,Riverside,2023-07-11T19:19:31Z,2023-07-11,2023-07-11,"Cajalco Road and Rider Street, near Mead Valley",12,https://www.fire.ca.gov/incidents/2023/7/11/rider-fire/,N
d2ced711-9481-45ca-9d1b-943352d05fac,Snake Fire,-117.348,33.7505,Riverside,2023-07-13T07:58:43Z,2023-07-11,2023-07-13,Lindell Rd. and Snake Rd. in Lake Elsinore,30,https://www.fire.ca.gov/incidents/2023/7/11/snake-fire/,N
a62c68f5-5a19-4dec-87f5-215a97726276,Spring Fire,-117.124,33.9364,Riverside,2023-07-12T07:29:34Z,2023-07-11,2023-07-12,Gilman Springs Road and Hwy 60 near Moreno Valley ,35,https://www.fire.ca.gov/incidents/2023/7/11/spring-fire/,N
9d067cfd-3688-464f-916f-95cb7793169b,Liberty Fire,-121.0089,38.2387,Amador,2023-07-14T08:32:09Z,2023-07-11,,"East Liberty Road and Ranchero Road, north of Camanche Reservoir",71,https://www.fire.ca.gov/incidents/2023/7/11/liberty-fire/,N
d8c6de46-8d1b-4e04-b3fe-c9212ce92fd3,Avocado Fire,-117.300098,33.505725,Riverside,2023-07-13T07:14:49Z,2023-07-12,2023-07-13,"near Avocado Mesa Road, in La Cresta",10,https://www.fire.ca.gov/incidents/2023/7/12/avocado-fire/,N
bbd4db04-faef-41c7-9422-ee1393ca1b1f,Pulsar Fire,-117.068009,33.821929,Riverside,2023-07-14T20:44:03Z,2023-07-13,2023-07-14,"Pulsar View Road, Lakeview",12,https://www.fire.ca.gov/incidents/2023/7/13/pulsar-fire/,N
e8f155bc-20c6-4344-b5dc-69ce1d0b8613,Highland Fire,-116.946498,33.907342,Riverside,2023-07-17T18:27:18Z,2023-07-14,2023-07-17,"South Highland Springs Ave and Breckenridge Ave, Beaumont, Ca.",105,https://www.fire.ca.gov/incidents/2023/7/14/highland-fire/,N
b57f434d-f307-4055-b47b-e49337374dd9,Lodoga Fire,-122.466,39.2694,Colusa,2023-07-19T12:10:09Z,2023-07-16,2023-07-19,"Sites Lodoga Road and Lodoga Stonyford Road, Colusa County",22,https://www.fire.ca.gov/incidents/2023/7/16/lodoga-fire/,N
471a442e-3c6c-49d3-a1da-c6539336f975,Stony Fire,-122.5259,39.6685,Glenn,2023-07-20T13:22:57Z,2023-07-18,2023-07-20,"County Road 306 and Hwy 162, north of Elk Creek",89,https://www.fire.ca.gov/incidents/2023/7/18/stony-fire/,N
