objectid,zone_id,label,globalid,shape_Length,shape_Area
2391,US-CA-XSD-SDC-0213,SDC-0213,{BF83EA78-41C9-4D5E-BEB3-C9BFA82E2005},49649.555500620452221,61396477.029119342565536
2392,US-CA-XSD-SDC-1483,SDC-1483,{594F6C1D-6A06-44CB-BA32-D8A2853DDC80},64695.681772958603688,203436969.860203385353088
2393,US-CA-XSD-SDC-1984,SDC-1984,{8DA9D8E2-1552-43E2-84FD-6BC1C53129CD},1876.799053922964049,199948.036580136424163
2394,US-CA-XSD-SDC-0302,SDC-0302,{BF1AD782-2143-4D5A-9271-5687AC35F07B},20736.739408418801759,19307189.124804407358170
2395,US-CA-XSD-SDC-1493,SDC-1493,{AE10C415-35FE-4B78-A2E5-628FD17FBAA3},39580.623001710737299,63692001.249114513397217
2396,US-CA-XSD-SDC-2065,SDC-2065,{97F445C9-EC9D-4B09-AEC5-75C9C3F5C97D},10363.735066565108355,6703765.928077436983585
2397,US-CA-XSD-SDC-1572,SDC-1572,{66FCE540-6095-403A-B3D8-77D314704075},103650.590205657688784,329907717.422498524188995
2398,US-CA-XSD-SDC-2187,SDC-2187,{F4C39BBA-5BFF-411A-A958-3F7EB7D8D516},2533.898387276419271,394343.330900867993478
2399,US-CA-XSD-SDC-0036,SDC-0036,{A4DC0DEC-EB3E-4882-A2AE-F509BDDBEEA3},12915.055866041542686,7319113.977853451855481
2400,US-CA-XSD-SDC-1916,SDC-1916,{B40C3476-4FD5-476F-8FD0-888939F75DAF},16072.693988588316643,14056258.859575375914574
2401,US-CA-XSD-SDC-0319,SDC-0319,{03C991B6-957F-465A-A18A-CAD026A47C0E},15453.976810096919507,13670687.472056174650788
2402,US-CA-XSD-SDC-2614,SDC-2614,{1333A416-316E-4C7F-9498-6BD5551E099D},33751.552179336140398,41559017.851948440074921
2403,US-CA-XSD-SDC-1634,SDC-1634,{E781886A-3849-4909-99AB-A2AA435C87F2},28645.921805073470750,45980151.086866453289986
2404,US-CA-XSD-SDC-0222,SDC-0222,{4E4CAEBD-B147-49DD-8214-031722DD14AE},44254.332882387760037,83204759.011307373642921
2405,US-CA-XSD-SDC-1128,SDC-1128,{7EF45A04-0BFD-4DA5-AF70-CC5458912993},23727.317164173568017,22136344.868198193609715
2406,US-CA-XSD-SDC-1008,SDC-1008,{E1B9C21E-4C21-450E-B1E8-29970CFE8A63},16996.780029192625079,12888321.284851018339396
2407,US-CA-XSD-SDC-2664,SDC-2664,{8D7BAE39-F90B-458E-8CCA-12A88CFC8A7E},14064.252595524041681,10319601.589405352249742
2408,US-CA-XSD-SDC-1464,SDC-1464,{B8C5CDA1-1975-4D10-9C5E-767F79FF9A4D},31155.552889644004608,56073136.988706372678280
2409,US-CA-XSD-SDC-2474,SDC-2474,{A892C26D-D544-4470-913B-7608EB070761},28086.493387539088872,43777806.920541688799858
2410,US-CA-XSD-SDC-2321,SDC-2321,{CF1B9C4C-2DED-411F-953A-052B902BC457},17019.375001943735697,9327033.486183216795325
2411,US-CA-XSD-SDC-1515,SDC-1515,{07991417-D5AB-4823-80B4-1502DFD1C1A2},34526.176174032851122,71546746.090563997626305
2412,US-CA-XSD-SDC-2085,SDC-2085,{5A1F3939-7371-4C8F-A93E-087F79C59D2E},18816.184989796020091,19559570.417940538376570
2413,US-CA-XSD-SDC-1135,SDC-1135,{C624DA03-E6D1-4770-8ADF-551FB49B6837},4521.433149046616563,1200410.429555538808927
2414,US-CA-XSD-SDC-0033,SDC-0033,{1A5B82EF-BE99-443A-B2C9-2E9322E02C76},14876.035959562077551,10597967.838247923180461
2415,US-CA-XSD-SDC-2392,SDC-2392,{58C0F047-3A53-4AD3-BD9B-609B5B8B91F3},37836.309855683648493,33914065.632523223757744
2416,US-CA-XSD-SDC-2302,SDC-2302,{2870994B-F6F7-4042-945B-E710EAA0F951},5190.509709651916637,1367051.329197741346434
2417,US-CA-XSD-SDC-1471,SDC-1471,{66735ADE-438C-47CE-AEAA-677C5E9BD1F1},35447.174752361606807,59032538.989198900759220
2418,US-CA-XSD-SDC-0416,SDC-0416,{0417DBA3-2DAF-47DC-B6CD-1C5A61EBD3A0},27508.568450387352641,43247197.709082372486591
2419,US-CA-XSD-SDC-1524,SDC-1524,{F3F79E24-8E41-4709-9741-A4674D1B6AFB},31966.350988382924697,55860964.805673122406006
2420,US-CA-XSD-SDC-1646,SDC-1646,{30509B49-2BBF-4540-BA55-94CC71BF7628},17527.452127906002715,7510794.374198022298515
2421,US-CA-XSD-SDC-0473,SDC-0473,{0DAFDDC1-4C1E-4F1C-AC59-F16A2928CF88},31251.592031264044635,40062062.545459456741810
2422,US-CA-XSD-SDC-2484,SDC-2484,{D748DB01-6F7F-4760-8B7D-31DFDCA87B8C},44512.452974053761864,87993562.530312433838844
2423,US-CA-XSD-SDC-1978,SDC-1978,{81E06DEA-0ACA-43BC-9FFC-066AE2570BED},14783.271450603066114,4310753.501664569601417
2424,US-CA-XSD-SDC-1527,SDC-1527,{F34D60C5-A443-4955-87C0-FC767661310D},29289.536355216197990,49681966.525443226099014
2425,US-CA-XSD-SDC-2383,SDC-2383,{8AB4A34F-405D-4A6D-B83E-08B7FB275D6E},9393.698971481191620,5775557.479321332648396
