Incident Name,Start Date,Incident Time,Evacuation Order Zones,Evacuation Warning Zones
Peter Fire,"July 3, 2023 at 7:03 PM","July 3, 2023 at 8:21 PM",,
Roundup Fire,"July 4, 2023 at 3:21 PM","July 5, 2023 at 7:25 PM",,
Bernasconi Fire,"July 5, 2023 at 1:58 PM","July 5, 2023 at 1:58 PM",,
Lincoln Fire,"July 5, 2023 at 2:35 PM","July 7, 2023 at 9:56 AM",,
Day Fire,"July 5, 2023 at 6:30 PM","July 6, 2023 at 6:57 AM",,
Frog Fire,"July 6, 2023 at 6:18 PM","July 7, 2023 at 4:34 PM",,
District Fire,"July 7, 2023 at 3:35 PM","July 10, 2023 at 6:29 PM",,
Park Fire,"July 9, 2023 at 4:45 PM","July 12, 2023 at 2:58 PM",,
Rider Fire,"July 11, 2023 at 2:10 PM","July 11, 2023 at 7:18 PM",,
Snake Fire,"July 11, 2023 at 4:28 PM","July 13, 2023 at 7:58 AM",,
Spring Fire,"July 11, 2023 at 6:52 PM","July 12, 2023 at 7:28 AM",,
Liberty Fire,"July 11, 2023 at 7:46 PM","July 13, 2023 at 7:13 AM",,
Avocado Fire,"July 12, 2023 at 7:58 PM","July 13, 2023 at 7:13 AM",,
Pulsar Fire,"July 14, 2023 at 6:18 AM","July 14, 2023 at 8:42 PM",,
Highland Fire,"July 14, 2023 at 5:32 PM","July 17, 2023 at 6:26 PM",,
Lodoga Fire,"July 17, 2023 at 7:59 AM","July 19, 2023 at 11:32 AM",,
Stony Fire,"July 18, 2023 at 4:01 PM","July 20, 2023 at 1:21 PM",,
Juniper Fire,"July 18, 2023 at 9:02 PM","July 20, 2023 at 1:21 PM",,
Idria Fire,"July 19, 2023 at 1:33 PM","July 22, 2023 at 7:38 AM",,
Oak Fire,"July 19, 2023 at 3:22 PM","July 20, 2023 at 7:45 PM",,
Wonder Fire,"July 24, 2023 at 6:15 PM","July 31, 2023 at 5:17 PM",,
Long Fire,"July 25, 2023 at 4:46 PM","July 27, 2023 at 1:26 PM",,
Victor Fire,"July 26, 2023 at 11:31 AM","July 26, 2023 at 11:31 AM",,
Agua Fire,"July 26, 2023 at 1:17 PM","August 11, 2023 at 9:05 AM",,
Turkey Fire,"July 26, 2023 at 3:21 PM","August 3, 2023 at 2:52 PM",,
Sunset Fire,"July 27, 2023 at 9:44 PM","July 28, 2023 at 7:06 PM",,
Scodie Fire,"July 29, 2023 at 10:42 AM","July 31, 2023 at 8:47 AM",,
Flynn Fire,"July 29, 2023 at 8:39 PM","July 29, 2023 at 9:04 PM",,
Shell Fire,"July 30, 2023 at 2:13 PM","August 2, 2023 at 8:24 PM",,
York Fire,"August 1, 2023 at 9:22 AM","August 21, 2023 at 11:53 AM",,
Haberkern Fire,"August 1, 2023 at 10:44 AM","August 2, 2023 at 8:24 PM",,
Beale Fire,"August 1, 2023 at 10:44 AM","August 9, 2023 at 9:01 AM",,
Nuevo Fire,"August 1, 2023 at 12:07 PM","August 2, 2023 at 9:36 AM",,
RV Fire,"August 1, 2023 at 3:34 PM","August 2, 2023 at 8:26 AM",,
Almond Fire,"August 2, 2023 at 12:54 PM","August 4, 2023 at 11:03 AM",,
Stanley Fire,"August 2, 2023 at 3:13 PM","August 4, 2023 at 11:00 AM",,
Clayton Fire,"August 3, 2023 at 3:37 PM","August 9, 2023 at 9:07 AM",,
Tecuya Fire,"August 3, 2023 at 7:23 PM","August 11, 2023 at 2:05 PM",,
Ridge Fire,"August 4, 2023 at 3:56 PM","August 9, 2023 at 8:33 AM",,
Boulevard Fire,"August 4, 2023 at 4:00 PM","August 6, 2023 at 7:01 AM",,
No Name Fire,"August 5, 2023 at 6:21 PM","August 11, 2023 at 2:09 PM",,
Pass ,"August 8, 2023 at 8:46 AM","August 8, 2023 at 8:46 AM",,
Bunnie Fire,"August 9, 2023 at 12:08 PM","August 11, 2023 at 5:08 PM",,
Cemetery Fire,"August 9, 2023 at 4:03 PM","August 10, 2023 at 3:05 PM",,
Dry Creek Complex,"August 10, 2023 at 3:40 PM","August 13, 2023 at 6:42 PM",,
